"time.t","exp.date","spot.t","exp.spot","fut","rec","brent.ind"
"1987-07","1988-05",21.355,17.438,20.37,0,0
"1987-08","1988-06",20.274,16.53,19.27,0,0
"1987-09","1988-07",19.526,15.498,19.07,0,0
"1987-10","1988-08",19.848,15.524,19.12,0,0
"1987-11","1988-09",18.92,14.467,18.02,0,0
"1987-12","1988-10",17.241,13.798,16.03,0,0
"1988-01","1988-11",17.16,13.977,16.14,0,0
"1988-02","1988-12",16.765,16.266,15.51,0,0
"1988-03","1989-01",16.217,17.983,16.57,0,0
"1988-04","1989-02",17.875,17.826,17.59,0,0
"1988-05","1989-03",17.438,19.445,17.79,0,0
"1988-06","1989-04",16.53,21.04,15.91,0,0
"1988-07","1989-05",15.498,20.032,16.87,0,0
"1988-08","1989-06",15.524,20.005,15.44,0,0
"1988-09","1989-07",14.467,19.644,13.17,0,0
"1988-10","1989-08",13.798,18.522,13.96,0,0
"1988-11","1989-09",13.977,19.594,15.05,0,0
"1988-12","1989-10",16.266,20.091,15.41,0,0
"1989-01","1989-11",17.983,19.82,15.78,0,0
"1989-02","1989-12",17.826,21.088,16.38,0,0
"1989-03","1990-01",19.445,22.641,17.03,0,0
"1989-04","1990-02",21.04,22.108,17.25,0,0
"1989-05","1990-03",20.032,20.418,17.14,0,0
"1989-06","1990-04",20.005,18.582,17.66,0,0
"1989-07","1990-05",19.644,18.237,17.91,0,0
"1989-08","1990-06",18.522,16.871,18.27,0,0
"1989-09","1990-07",19.594,18.638,18.84,0,0
"1989-10","1990-08",20.091,27.174,18.57,1,0
"1989-11","1990-09",19.82,33.687,18.56,1,0
"1989-12","1990-10",21.088,35.922,19.66,1,0
"1990-01","1990-11",22.641,32.3,19.96,1,0
"1990-02","1990-12",22.108,27.337,20.96,1,0
"1990-03","1991-01",20.418,24.959,20.74,1,0
"1990-04","1991-02",18.582,20.523,20.18,1,0
"1990-05","1991-03",18.237,19.86,20.12,1,0
"1990-06","1991-04",16.871,20.823,19.2,0,0
"1990-07","1991-05",18.638,21.24,21.73,0,0
"1990-08","1991-06",27.174,20.195,23.92,0,0
