"time.t","exp.date","spot.t","exp.spot","fut","rec","brent.ind"
"1984-01","1984-08",29.69,29.25,29.2,0,0
"1984-02","1984-09",30.145,29.311,30.1,0,0
"1984-03","1984-10",30.761,28.765,30.4,0,0
"1984-04","1984-11",30.618,28.098,30.15,0,0
"1984-05","1984-12",30.52,25.429,30.8,0,0
"1984-06","1985-01",29.967,25.641,30.15,0,0
"1984-07","1985-02",28.752,27.271,28,0,0
"1984-08","1985-03",29.25,28.238,29.48,0,0
"1984-09","1985-04",29.311,28.805,29.42,0,0
"1984-10","1985-05",28.765,27.623,27.74,0,0
"1984-11","1985-06",28.098,27.143,26.78,0,0
"1984-12","1985-07",25.429,27.329,25.91,0,0
"1985-01","1985-08",25.641,27.755,25.35,0,0
"1985-02","1985-09",27.271,28.289,25.41,0,0
"1985-03","1985-10",28.238,29.538,27.39,0,0
"1985-04","1985-11",28.805,30.813,26.77,0,0
"1985-05","1985-12",27.623,27.228,26.45,0,0
"1985-06","1986-01",27.143,22.945,25,0,0
"1985-07","1986-02",27.329,15.442,24.97,0,0
"1985-08","1986-03",27.755,12.618,26.55,0,0
"1985-09","1986-04",28.289,12.847,26.62,0,0
"1985-10","1986-05",29.538,15.444,26.51,0,0
"1985-11","1986-06",30.813,13.469,26.04,0,0
"1985-12","1986-07",27.228,11.575,22.92,0,0
"1986-01","1986-08",22.945,15.092,19.07,0,0
"1986-02","1986-09",15.442,14.913,14.88,0,0
"1986-03","1986-10",12.618,14.852,11.51,0,0
"1986-04","1986-11",12.847,15.207,12.82,0,0
"1986-05","1986-12",15.444,16.076,13.51,0,0
"1986-06","1987-01",13.469,18.656,12.82,0,0
"1986-07","1987-02",11.575,17.726,11.52,0,0
"1986-08","1987-03",15.092,18.305,15.52,0,0
"1986-09","1987-04",14.913,18.643,14.82,0,0
"1986-10","1987-05",14.852,19.415,15.5,0,0
"1986-11","1987-06",15.207,20.034,15.05,0,0
"1986-12","1987-07",16.076,21.355,17.67,0,0
"1987-01","1987-08",18.656,20.274,17.93,0,0
"1987-02","1987-09",17.726,19.526,16.43,0,0
"1987-03","1987-10",18.305,19.848,17.98,0,0
"1987-04","1987-11",18.643,18.92,17.77,0,0
"1987-05","1987-12",19.415,17.241,18.75,0,0
"1987-06","1988-01",20.034,17.16,20.05,0,0
"1987-07","1988-02",21.355,16.765,20.49,0,0
"1987-08","1988-03",20.274,16.217,19.3,0,0
"1987-09","1988-04",19.526,17.875,19.15,0,0
"1987-10","1988-05",19.848,17.438,19.34,0,0
