"time.t","exp.date","spot.t","exp.spot","fut","rec","brent.ind"
"1986-12","1987-09",16.076,19.526,17.57,0,0
"1987-01","1987-10",18.656,19.848,17.98,0,0
"1987-02","1987-11",17.726,18.92,16.58,0,0
"1987-03","1987-12",18.305,17.241,17.96,0,0
"1987-04","1988-01",18.643,17.16,17.73,0,0
"1987-05","1988-02",19.415,16.765,18.67,0,0
"1987-06","1988-03",20.034,16.217,20.05,0,0
"1987-07","1988-04",21.355,17.875,20.4,0,0
"1987-08","1988-05",20.274,17.438,19.28,0,0
"1987-09","1988-06",19.526,16.53,19.09,0,0
"1987-10","1988-07",19.848,15.498,19.19,0,0
"1987-11","1988-08",18.92,15.524,18.06,0,0
"1987-12","1988-09",17.241,14.467,16.09,0,0
"1988-01","1988-10",17.16,13.798,16.22,0,0
"1988-02","1988-11",16.765,13.977,15.55,0,0
"1988-03","1988-12",16.217,16.266,16.61,0,0
"1988-04","1989-01",17.875,17.983,17.63,0,0
"1988-05","1989-02",17.438,17.826,17.82,0,0
"1988-06","1989-03",16.53,19.445,15.88,0,0
"1988-07","1989-04",15.498,21.04,16.84,0,0
"1988-08","1989-05",15.524,20.032,15.41,0,0
"1988-09","1989-06",14.467,20.005,13.13,0,0
"1988-10","1989-07",13.798,19.644,13.91,0,0
"1988-11","1989-08",13.977,18.522,15.05,0,0
"1988-12","1989-09",16.266,19.594,15.46,0,0
"1989-01","1989-10",17.983,20.091,15.81,0,0
"1989-02","1989-11",17.826,19.82,16.44,0,0
"1989-03","1989-12",19.445,21.088,17.21,0,0
"1989-04","1990-01",21.04,22.641,17.37,0,0
"1989-05","1990-02",20.032,22.108,17.23,0,0
"1989-06","1990-03",20.005,20.418,17.75,0,0
"1989-07","1990-04",19.644,18.582,17.93,0,0
"1989-08","1990-05",18.522,18.237,18.3,0,0
"1989-09","1990-06",19.594,16.871,18.93,0,0
"1989-10","1990-07",20.091,18.638,18.65,0,0
"1989-11","1990-08",19.82,27.174,18.65,1,0
"1989-12","1990-09",21.088,33.687,19.74,1,0
"1990-01","1990-10",22.641,35.922,20.03,1,0
