"time.t","exp.date","spot.t","exp.spot","fut","rec","brent.ind"
"1983-03","1983-07",28.82,31.66,29.05,0,0
"1983-04","1983-08",30.61,31.91,30.65,0,0
"1983-05","1983-09",30,31.11,30.03,0,0
"1983-06","1983-10",31,30.41,31.15,0,0
"1983-07","1983-11",31.66,29.84,31.82,0,0
"1983-08","1983-12",31.91,29.24,31.46,0,0
"1983-09","1984-01",31.11,29.69,30.25,0,0
"1983-10","1984-02",30.41,30.145,30.03,0,0
"1983-11","1984-03",29.84,30.761,28.8,0,0
"1983-12","1984-04",29.24,30.618,28.7,0,0
"1984-01","1984-05",29.69,30.52,29.38,0,0
"1984-02","1984-06",30.145,29.967,30.2,0,0
"1984-03","1984-07",30.761,28.752,30.6,0,0
"1984-04","1984-08",30.618,29.25,30.16,0,0
"1984-05","1984-09",30.52,29.311,30.86,0,0
"1984-06","1984-10",29.967,28.765,30.12,0,0
"1984-07","1984-11",28.752,28.098,28.19,0,0
"1984-08","1984-12",29.25,25.429,29.7,0,0
"1984-09","1985-01",29.311,25.641,29.77,0,0
"1984-10","1985-02",28.765,27.271,27.99,0,0
"1984-11","1985-03",28.098,28.238,26.93,0,0
"1984-12","1985-04",25.429,28.805,26.05,0,0
"1985-01","1985-05",25.641,27.623,25.55,0,0
"1985-02","1985-06",27.271,27.143,25.54,0,0
"1985-03","1985-07",28.238,27.329,27.36,0,0
"1985-04","1985-08",28.805,27.755,26.78,0,0
"1985-05","1985-09",27.623,28.289,26.91,0,0
"1985-06","1985-10",27.143,29.538,25.78,0,0
"1985-07","1985-11",27.329,30.813,25.66,0,0
"1985-08","1985-12",27.755,27.228,27.15,0,0
"1985-09","1986-01",28.289,22.945,27.7,0,0
"1985-10","1986-02",29.538,15.442,27.92,0,0
"1985-11","1986-03",30.813,12.618,27.5,0,0
"1985-12","1986-04",27.228,12.847,23.95,0,0
"1986-01","1986-05",22.945,15.444,18.95,0,0
"1986-02","1986-06",15.442,13.469,14.04,0,0
"1986-03","1986-07",12.618,11.575,10.97,0,0
"1986-04","1986-08",12.847,15.092,12.76,0,0
"1986-05","1986-09",15.444,14.913,13.66,0,0
"1986-06","1986-10",13.469,14.852,12.73,0,0
"1986-07","1986-11",11.575,15.207,11.28,0,0
"1986-08","1986-12",15.092,16.076,15.75,0,0
"1986-09","1987-01",14.913,18.656,14.8,0,0
"1986-10","1987-02",14.852,17.726,15.5,0,0
"1986-11","1987-03",15.207,18.305,15.11,0,0
"1986-12","1987-04",16.076,18.643,17.85,0,0
"1987-01","1987-05",18.656,19.415,18.19,0,0
"1987-02","1987-06",17.726,20.034,16.38,0,0
"1987-03","1987-07",18.305,21.355,18.15,0,0
"1987-04","1987-08",18.643,20.274,17.97,0,0
"1987-05","1987-09",19.415,19.526,18.9,0,0
"1987-06","1987-10",20.034,19.848,20.05,0,0
"1987-07","1987-11",21.355,18.92,20.71,0,0
"1987-08","1987-12",20.274,17.241,19.38,0,0
"1987-09","1988-01",19.526,17.16,19.32,0,0
"1987-10","1988-02",19.848,16.765,19.61,0,0
"1987-11","1988-03",18.92,16.217,18.26,0,0
"1987-12","1988-04",17.241,17.875,16.4,0,0
"1988-01","1988-05",17.16,17.438,16.64,0,0
"1988-02","1988-06",16.765,16.53,15.81,0,0
"1988-03","1988-07",16.217,15.498,16.84,0,0
"1988-04","1988-08",17.875,15.524,17.84,0,0
"1988-05","1988-09",17.438,14.467,17.86,0,0
"1988-06","1988-10",16.53,13.798,15.57,0,0
"1988-07","1988-11",15.498,13.977,16.64,0,0
"1988-08","1988-12",15.524,16.266,15.26,0,0
"1988-09","1989-01",14.467,17.983,12.95,0,0
"1988-10","1989-02",13.798,17.826,13.66,0,0
"1988-11","1989-03",13.977,19.445,15.05,0,0
"1988-12","1989-04",16.266,21.04,16,0,0
"1989-01","1989-05",17.983,20.032,16.23,0,0
"1989-02","1989-06",17.826,20.005,17.1,0,0
"1989-03","1989-07",19.445,19.644,18.6,0,0
"1989-04","1989-08",21.04,18.522,18.4,0,0
"1989-05","1989-09",20.032,19.594,18.05,0,0
"1989-06","1989-10",20.005,20.091,18.58,0,0
"1989-07","1989-11",19.644,19.82,18.11,0,0
"1989-08","1989-12",18.522,21.088,18.53,0,0
"1989-09","1990-01",19.594,22.641,19.52,0,0
"1989-10","1990-02",20.091,22.108,19.28,0,0
"1989-11","1990-03",19.82,20.418,19.31,0,0
"1989-12","1990-04",21.088,18.582,20.83,0,0
"1990-01","1990-05",22.641,18.237,21.16,0,0
"1990-02","1990-06",22.108,16.871,21.38,0,0
"1990-03","1990-07",20.418,18.638,20.73,0,0
"1990-04","1990-08",18.582,27.174,19.97,1,0
"1990-05","1990-09",18.237,33.687,19.21,1,0
"1990-06","1990-10",16.871,35.922,18.58,1,0
"1990-07","1990-11",18.638,32.3,21.91,1,0
"1990-08","1990-12",27.174,27.337,26.1,1,0
"1990-09","1991-01",33.687,24.959,35.4,1,0
"1990-10","1991-02",35.922,20.523,31.16,1,0
"1990-11","1991-03",32.3,19.86,27.92,1,0
"1990-12","1991-04",27.337,20.823,25.8,0,0
"1991-01","1991-05",24.959,21.24,19.38,0,0
"1991-02","1991-06",20.523,20.195,18.24,0,0
