"time.t","exp.date","spot.t","exp.spot","fut","rec","brent.ind"
"1983-03","1983-06",28.82,31,29.24,0,0
"1983-04","1983-07",30.61,31.66,30.57,0,0
"1983-05","1983-08",30,31.91,30.05,0,0
"1983-06","1983-09",31,31.11,31.21,0,0
"1983-07","1983-10",31.66,30.41,31.87,0,0
"1983-08","1983-11",31.91,29.84,31.53,0,0
"1983-09","1983-12",31.11,29.24,30.3,0,0
"1983-10","1984-01",30.41,29.69,30.14,0,0
"1983-11","1984-02",29.84,30.145,28.8,0,0
"1983-12","1984-03",29.24,30.761,28.85,0,0
"1984-01","1984-04",29.69,30.618,29.52,0,0
"1984-02","1984-05",30.145,30.52,30.27,0,0
"1984-03","1984-06",30.761,29.967,30.67,0,0
"1984-04","1984-07",30.618,28.752,30.15,0,0
"1984-05","1984-08",30.52,29.25,30.82,0,0
"1984-06","1984-09",29.967,29.311,30.06,0,0
"1984-07","1984-10",28.752,28.765,28.03,0,0
"1984-08","1984-11",29.25,28.098,29.72,0,0
"1984-09","1984-12",29.311,25.429,29.87,0,0
"1984-10","1985-01",28.765,25.641,28.15,0,0
"1984-11","1985-02",28.098,27.271,27.07,0,0
"1984-12","1985-03",25.429,28.238,26.12,0,0
"1985-01","1985-04",25.641,28.805,25.63,0,0
"1985-02","1985-05",27.271,27.623,25.77,0,0
"1985-03","1985-06",28.238,27.143,27.62,0,0
"1985-04","1985-07",28.805,27.329,26.91,0,0
"1985-05","1985-08",27.623,27.755,27.11,0,0
"1985-06","1985-09",27.143,28.289,26,0,0
"1985-07","1985-10",27.329,29.538,25.97,0,0
"1985-08","1985-11",27.755,30.813,27.4,0,0
"1985-09","1985-12",28.289,27.228,28.1,0,0
"1985-10","1986-01",29.538,22.945,28.6,0,0
"1985-11","1986-02",30.813,15.442,28.16,0,0
"1985-12","1986-03",27.228,12.618,24.5,0,0
"1986-01","1986-04",22.945,12.847,18.91,0,0
"1986-02","1986-05",15.442,15.444,13.85,0,0
"1986-03","1986-06",12.618,13.469,10.79,0,0
"1986-04","1986-07",12.847,11.575,12.81,0,0
"1986-05","1986-08",15.444,15.092,13.7,0,0
"1986-06","1986-09",13.469,14.913,12.65,0,0
"1986-07","1986-10",11.575,14.852,11.15,0,0
"1986-08","1986-11",15.092,15.207,15.85,0,0
"1986-09","1986-12",14.913,16.076,14.85,0,0
"1986-10","1987-01",14.852,18.656,15.5,0,0
"1986-11","1987-02",15.207,17.726,15.13,0,0
"1986-12","1987-03",16.076,18.305,17.93,0,0
"1987-01","1987-04",18.656,18.643,18.4,0,0
"1987-02","1987-05",17.726,19.415,16.41,0,0
"1987-03","1987-06",18.305,20.034,18.3,0,0
"1987-04","1987-07",18.643,21.355,18.13,0,0
"1987-05","1987-08",19.415,20.274,19,0,0
"1987-06","1987-09",20.034,19.526,20.05,0,0
"1987-07","1987-10",21.355,19.848,20.85,0,0
"1987-08","1987-11",20.274,18.92,19.43,0,0
"1987-09","1987-12",19.526,17.241,19.38,0,0
"1987-10","1988-01",19.848,17.16,19.71,0,0
"1987-11","1988-02",18.92,16.765,18.3,0,0
"1987-12","1988-03",17.241,16.217,16.49,0,0
"1988-01","1988-04",17.16,17.875,16.74,0,0
"1988-02","1988-05",16.765,17.438,15.87,0,0
"1988-03","1988-06",16.217,16.53,16.91,0,0
"1988-04","1988-07",17.875,15.498,17.89,0,0
"1988-05","1988-08",17.438,15.524,17.81,0,0
"1988-06","1988-09",16.53,14.467,15.45,0,0
"1988-07","1988-10",15.498,13.798,16.55,0,0
"1988-08","1988-11",15.524,13.977,15.23,0,0
"1988-09","1988-12",14.467,16.266,12.96,0,0
"1988-10","1989-01",13.798,17.983,13.59,0,0
"1988-11","1989-02",13.977,17.826,15.07,0,0
