"time.t","exp.date","spot.t","exp.spot","fut","rec","brent.ind"
"1983-04","1983-05",30.61,30,30.63,0,0
"1983-05","1983-06",30,31,30.25,0,0
"1983-06","1983-07",31,31.66,31.38,0,0
"1983-07","1983-08",31.66,31.91,32,0,0
"1983-08","1983-09",31.91,31.11,31.59,0,0
"1983-09","1983-10",31.11,30.41,30.36,0,0
"1983-10","1983-11",30.41,29.84,30.37,0,0
"1983-11","1983-12",29.84,29.24,29.23,0,0
"1983-12","1984-01",29.24,29.69,29.6,0,0
"1984-01","1984-02",29.69,30.145,29.98,0,0
"1984-02","1984-03",30.145,30.761,30.55,0,0
"1984-03","1984-04",30.761,30.618,30.85,0,0
"1984-04","1984-05",30.618,30.52,30.26,0,0
"1984-05","1984-06",30.52,29.967,30.83,0,0
"1984-06","1984-07",29.967,28.752,29.75,0,0
"1984-07","1984-08",28.752,29.25,27.6,0,0
"1984-08","1984-09",29.25,29.311,29.23,0,0
"1984-09","1984-10",29.311,28.765,29.66,0,0
"1984-10","1984-11",28.765,28.098,28.46,0,0
"1984-11","1984-12",28.098,25.429,27.31,0,0
"1984-12","1985-01",25.429,25.641,26.41,0,0
"1985-01","1985-02",25.641,27.271,26.41,0,0
"1985-02","1985-03",27.271,28.238,26.73,0,0
"1985-03","1985-04",28.238,28.805,28.29,0,0
"1985-04","1985-05",28.805,27.623,27.63,0,0
"1985-05","1985-06",27.623,27.143,27.84,0,0
"1985-06","1985-07",27.143,27.329,26.87,0,0
"1985-07","1985-08",27.329,27.755,27.12,0,0
"1985-08","1985-09",27.755,28.289,28.08,0,0
"1985-09","1985-10",28.289,29.538,29.08,0,0
"1985-10","1985-11",29.538,30.813,30.38,0,0
"1985-11","1985-12",30.813,27.228,29.75,0,0
"1985-12","1986-01",27.228,22.945,26.3,0,0
"1986-01","1986-02",22.945,15.442,18.83,0,0
"1986-02","1986-03",15.442,12.618,13.26,0,0
"1986-03","1986-04",12.618,12.847,10.42,0,0
"1986-04","1986-05",12.847,15.444,13.34,0,0
"1986-05","1986-06",15.444,13.469,14.3,0,0
"1986-06","1986-07",13.469,11.575,12.78,0,0
"1986-07","1986-08",11.575,15.092,11.15,0,0
"1986-08","1986-09",15.092,14.913,15.9,0,0
"1986-09","1986-10",14.913,14.852,14.77,0,0
"1986-10","1986-11",14.852,15.207,15.27,0,0
"1986-11","1986-12",15.207,16.076,15,0,0
"1986-12","1987-01",16.076,18.656,17.94,0,0
"1987-01","1987-02",18.656,17.726,18.75,0,0
"1987-02","1987-03",17.726,18.305,16.6,0,0
"1987-03","1987-04",18.305,18.643,18.83,0,0
"1987-04","1987-05",18.643,19.415,18.73,0,0
"1987-05","1987-06",19.415,20.034,19.38,0,0
"1987-06","1987-07",20.034,21.355,20.29,0,0
"1987-07","1987-08",21.355,20.274,21.37,0,0
"1987-08","1987-09",20.274,19.526,19.73,0,0
"1987-09","1987-10",19.526,19.848,19.59,0,0
"1987-10","1987-11",19.848,18.92,19.96,0,0
"1987-11","1987-12",18.92,17.241,18.51,0,0
"1987-12","1988-01",17.241,17.16,16.7,0,0
"1988-01","1988-02",17.16,16.765,16.94,0,0
"1988-02","1988-03",16.765,16.217,16.01,0,0
"1988-03","1988-04",16.217,17.875,17.08,0,0
"1988-04","1988-05",17.875,17.438,17.99,0,0
"1988-05","1988-06",17.438,16.53,17.51,0,0
"1988-06","1988-07",16.53,15.498,15.16,0,0
"1988-07","1988-08",15.498,15.524,16.31,0,0
"1988-08","1988-09",15.524,14.467,15.18,0,0
"1988-09","1988-10",14.467,13.798,13.37,0,0
"1988-10","1988-11",13.798,13.977,13.58,0,0
"1988-11","1988-12",13.977,16.266,15.32,0,0
"1988-12","1989-01",16.266,17.983,17.24,0,0
"1989-01","1989-02",17.983,17.826,17.03,0,0
"1989-02","1989-03",17.826,19.445,18.15,0,0
"1989-03","1989-04",19.445,21.04,20.19,0,0
"1989-04","1989-05",21.04,20.032,20.42,0,0
"1989-05","1989-06",20.032,20.005,19.9,0,0
"1989-06","1989-07",20.005,19.644,20.27,0,0
"1989-07","1989-08",19.644,18.522,18.31,0,0
"1989-08","1989-09",18.522,19.594,18.83,0,0
"1989-09","1989-10",19.594,20.091,20.13,0,0
"1989-10","1989-11",20.091,19.82,19.94,0,0
"1989-11","1989-12",19.82,21.088,19.89,0,0
"1989-12","1990-01",21.088,22.641,21.82,0,0
"1990-01","1990-02",22.641,22.108,22.68,0,0
