"time.t","exp.date","spot.t","exp.spot","fut","rec","brent.ind"
"1983-03","1983-08",28.82,31.91,28.85,0,0
"1983-04","1983-09",30.61,31.11,30.65,0,0
"1983-05","1983-10",30,30.41,29.9,0,0
"1983-06","1983-11",31,29.84,31.05,0,0
"1983-07","1983-12",31.66,29.24,31.7,0,0
"1983-08","1984-01",31.91,29.69,31.3,0,0
"1983-09","1984-02",31.11,30.145,30.05,0,0
"1983-10","1984-03",30.41,30.761,29.85,0,0
"1983-11","1984-04",29.84,30.618,28.76,0,0
"1983-12","1984-05",29.24,30.52,28.6,0,0
"1984-01","1984-06",29.69,29.967,29.32,0,0
"1984-02","1984-07",30.145,28.752,30.1,0,0
"1984-03","1984-08",30.761,29.25,30.55,0,0
"1984-04","1984-09",30.618,29.311,30.15,0,0
"1984-05","1984-10",30.52,28.765,30.85,0,0
"1984-06","1984-11",29.967,28.098,30.25,0,0
"1984-07","1984-12",28.752,25.429,28.18,0,0
"1984-08","1985-01",29.25,25.641,29.6,0,0
"1984-09","1985-02",29.311,27.271,29.64,0,0
"1984-10","1985-03",28.765,28.238,27.89,0,0
"1984-11","1985-04",28.098,28.805,26.86,0,0
"1984-12","1985-05",25.429,27.623,25.94,0,0
"1985-01","1985-06",25.641,27.143,25.4,0,0
"1985-02","1985-07",27.271,27.329,25.45,0,0
"1985-03","1985-08",28.238,27.755,27.22,0,0
"1985-04","1985-09",28.805,28.289,26.75,0,0
"1985-05","1985-10",27.623,29.538,26.71,0,0
"1985-06","1985-11",27.143,30.813,25.5,0,0
"1985-07","1985-12",27.329,27.228,25.38,0,0
"1985-08","1986-01",27.755,22.945,26.95,0,0
"1985-09","1986-02",28.289,15.442,27.3,0,0
"1985-10","1986-03",29.538,12.618,27.38,0,0
"1985-11","1986-04",30.813,12.847,26.91,0,0
"1985-12","1986-05",27.228,15.444,23.53,0,0
"1986-01","1986-06",22.945,13.469,18.99,0,0
"1986-02","1986-07",15.442,11.575,14.32,0,0
"1986-03","1986-08",12.618,15.092,11.15,0,0
"1986-04","1986-09",12.847,14.913,12.78,0,0
"1986-05","1986-10",15.444,14.852,13.61,0,0
"1986-06","1986-11",13.469,15.207,12.82,0,0
"1986-07","1986-12",11.575,16.076,11.36,0,0
"1986-08","1987-01",15.092,18.656,15.65,0,0
"1986-09","1987-02",14.913,17.726,14.78,0,0
"1986-10","1987-03",14.852,18.305,15.5,0,0
"1986-11","1987-04",15.207,18.643,15.09,0,0
"1986-12","1987-05",16.076,19.415,17.78,0,0
"1987-01","1987-06",18.656,20.034,18.05,0,0
"1987-02","1987-07",17.726,21.355,16.36,0,0
"1987-03","1987-08",18.305,20.274,18.05,0,0
"1987-04","1987-09",18.643,19.526,17.88,0,0
"1987-05","1987-10",19.415,19.848,18.85,0,0
"1987-06","1987-11",20.034,18.92,20.05,0,0
"1987-07","1987-12",21.355,17.241,20.61,0,0
"1987-08","1988-01",20.274,17.16,19.34,0,0
"1987-09","1988-02",19.526,16.765,19.26,0,0
"1987-10","1988-03",19.848,16.217,19.52,0,0
"1987-11","1988-04",18.92,17.875,18.22,0,0
"1987-12","1988-05",17.241,17.438,16.33,0,0
"1988-01","1988-06",17.16,16.53,16.54,0,0
"1988-02","1988-07",16.765,15.498,15.75,0,0
"1988-03","1988-08",16.217,15.524,16.78,0,0
"1988-04","1988-09",17.875,14.467,17.79,0,0
"1988-05","1988-10",17.438,13.798,17.89,0,0
"1988-06","1988-11",16.53,13.977,15.68,0,0
"1988-07","1988-12",15.498,16.266,16.69,0,0
"1988-08","1989-01",15.524,17.983,15.29,0,0
"1988-09","1989-02",14.467,17.826,12.97,0,0
"1988-10","1989-03",13.798,19.445,13.71,0,0
"1988-11","1989-04",13.977,21.04,15.05,0,0
"1988-12","1989-05",16.266,20.032,15.84,0,0
"1989-01","1989-06",17.983,20.005,16.08,0,0
