"time.t","exp.date","spot.t","exp.spot","fut","rec","brent.ind"
"1983-03","1983-05",28.82,30,29.29,0,0
"1983-04","1983-06",30.61,31,30.59,0,0
"1983-05","1983-07",30,31.66,30.1,0,0
"1983-06","1983-08",31,31.91,31.21,0,0
"1983-07","1983-09",31.66,31.11,31.92,0,0
"1983-08","1983-10",31.91,30.41,31.57,0,0
"1983-09","1983-11",31.11,29.84,30.33,0,0
"1983-10","1983-12",30.41,29.24,30.25,0,0
"1983-11","1984-01",29.84,29.69,28.91,0,0
"1983-12","1984-02",29.24,30.145,29.2,0,0
"1984-01","1984-03",29.69,30.761,29.65,0,0
"1984-02","1984-04",30.145,30.618,30.35,0,0
"1984-03","1984-05",30.761,30.52,30.74,0,0
"1984-04","1984-06",30.618,29.967,30.18,0,0
"1984-05","1984-07",30.52,28.752,30.85,0,0
"1984-06","1984-08",29.967,29.25,29.9,0,0
"1984-07","1984-09",28.752,29.311,27.86,0,0
"1984-08","1984-10",29.25,28.765,29.55,0,0
"1984-09","1984-11",29.311,28.098,29.89,0,0
"1984-10","1984-12",28.765,25.429,28.32,0,0
"1984-11","1985-01",28.098,25.641,27.21,0,0
"1984-12","1985-02",25.429,27.271,26.27,0,0
"1985-01","1985-03",25.641,28.238,25.83,0,0
"1985-02","1985-04",27.271,28.805,26.08,0,0
"1985-03","1985-05",28.238,27.623,27.81,0,0
"1985-04","1985-06",28.805,27.143,27.11,0,0
"1985-05","1985-07",27.623,27.329,27.43,0,0
"1985-06","1985-08",27.143,27.755,26.36,0,0
"1985-07","1985-09",27.329,28.289,26.46,0,0
"1985-08","1985-10",27.755,29.538,27.72,0,0
"1985-09","1985-11",28.289,30.813,28.63,0,0
"1985-10","1985-12",29.538,27.228,29.38,0,0
"1985-11","1986-01",30.813,22.945,28.94,0,0
"1985-12","1986-02",27.228,15.442,25.29,0,0
"1986-01","1986-03",22.945,12.618,18.83,0,0
"1986-02","1986-04",15.442,12.847,13.59,0,0
"1986-03","1986-05",12.618,15.444,10.63,0,0
"1986-04","1986-06",12.847,13.469,13.04,0,0
"1986-05","1986-07",15.444,11.575,13.9,0,0
"1986-06","1986-08",13.469,15.092,12.65,0,0
"1986-07","1986-09",11.575,14.913,11.06,0,0
"1986-08","1986-10",15.092,14.852,15.86,0,0
"1986-09","1986-11",14.913,15.207,14.93,0,0
"1986-10","1986-12",14.852,16.076,15.43,0,0
"1986-11","1987-01",15.207,18.656,15.12,0,0
"1986-12","1987-02",16.076,17.726,17.97,0,0
"1987-01","1987-03",18.656,18.305,18.58,0,0
"1987-02","1987-04",17.726,18.643,16.49,0,0
"1987-03","1987-05",18.305,19.415,18.53,0,0
"1987-04","1987-06",18.643,20.034,18.38,0,0
"1987-05","1987-07",19.415,21.355,19.14,0,0
"1987-06","1987-08",20.034,20.274,20.09,0,0
"1987-07","1987-09",21.355,19.526,21.03,0,0
"1987-08","1987-10",20.274,19.848,19.5,0,0
"1987-09","1987-11",19.526,18.92,19.48,0,0
"1987-10","1987-12",19.848,17.241,19.84,0,0
"1987-11","1988-01",18.92,17.16,18.34,0,0
"1987-12","1988-02",17.241,16.765,16.59,0,0
"1988-01","1988-03",17.16,16.217,16.84,0,0
"1988-02","1988-04",16.765,17.875,15.93,0,0
"1988-03","1988-05",16.217,17.438,16.98,0,0
"1988-04","1988-06",17.875,16.53,17.94,0,0
"1988-05","1988-07",17.438,15.498,17.71,0,0
"1988-06","1988-08",16.53,15.524,15.32,0,0
"1988-07","1988-09",15.498,14.467,16.44,0,0
"1988-08","1988-10",15.524,13.798,15.19,0,0
"1988-09","1988-11",14.467,13.977,13.02,0,0
"1988-10","1988-12",13.798,16.266,13.56,0,0
"1988-11","1989-01",13.977,17.983,15.14,0,0
"1988-12","1989-02",16.266,17.826,16.69,0,0
"1989-01","1989-03",17.983,19.445,16.6,0,0
"1989-02","1989-04",17.826,21.04,17.66,0,0
"1989-03","1989-05",19.445,20.032,19.5,0,0
"1989-04","1989-06",21.04,20.005,19.34,0,0
"1989-05","1989-07",20.032,19.644,18.91,0,0
"1989-06","1989-08",20.005,18.522,19.5,0,0
"1989-07","1989-09",19.644,19.594,18.21,0,0
"1989-08","1989-10",18.522,20.091,18.71,0,0
"1989-09","1989-11",19.594,19.82,19.87,0,0
"1989-10","1989-12",20.091,21.088,19.65,0,0
"1989-11","1990-01",19.82,22.641,19.67,0,0
"1989-12","1990-02",21.088,22.108,21.49,0,0
"1990-01","1990-03",22.641,20.418,21.93,0,0
"1990-02","1990-04",22.108,18.582,21.56,0,0
"1990-03","1990-05",20.418,18.237,20.57,0,0
"1990-04","1990-06",18.582,16.871,19.27,0,0
"1990-05","1990-07",18.237,18.638,18.04,0,0
"1990-06","1990-08",16.871,27.174,17.72,1,0
"1990-07","1990-09",18.638,33.687,21.22,1,0
"1990-08","1990-10",27.174,35.922,27.06,1,0
"1990-09","1990-11",33.687,32.3,38.31,1,0
"1990-10","1990-12",35.922,27.337,33.97,1,0
"1990-11","1991-01",32.3,24.959,30.54,1,0
