"time.t","exp.date","spot.t","exp.spot","fut","rec","brent.ind"
"1983-10","1984-04",30.41,30.618,29.73,0,0
"1983-11","1984-05",29.84,30.52,28.66,0,0
"1983-12","1984-06",29.24,29.967,28.5,0,0
"1984-01","1984-07",29.69,28.752,29.2,0,0
"1984-02","1984-08",30.145,29.25,30.03,0,0
"1984-03","1984-09",30.761,29.311,30.45,0,0
"1984-04","1984-10",30.618,28.765,30.15,0,0
"1984-05","1984-11",30.52,28.098,30.83,0,0
"1984-06","1984-12",29.967,25.429,30.35,0,0
"1984-07","1985-01",28.752,25.641,28,0,0
"1984-08","1985-02",29.25,27.271,29.56,0,0
"1984-09","1985-03",29.311,28.238,29.54,0,0
"1984-10","1985-04",28.765,28.805,27.8,0,0
"1984-11","1985-05",28.098,27.623,26.8,0,0
"1984-12","1985-06",25.429,27.143,25.93,0,0
"1985-01","1985-07",25.641,27.329,25.35,0,0
"1985-02","1985-08",27.271,27.755,25.41,0,0
"1985-03","1985-09",28.238,28.289,27.37,0,0
"1985-04","1985-10",28.805,29.538,26.75,0,0
"1985-05","1985-11",27.623,30.813,26.5,0,0
"1985-06","1985-12",27.143,27.228,25.2,0,0
"1985-07","1986-01",27.329,22.945,25.18,0,0
"1985-08","1986-02",27.755,15.442,26.75,0,0
"1985-09","1986-03",28.289,12.618,26.96,0,0
"1985-10","1986-04",29.538,12.847,26.94,0,0
"1985-11","1986-05",30.813,15.444,26.41,0,0
"1985-12","1986-06",27.228,13.469,23.2,0,0
"1986-01","1986-07",22.945,11.575,19.03,0,0
"1986-02","1986-08",15.442,15.092,14.6,0,0
"1986-03","1986-09",12.618,14.913,11.33,0,0
"1986-04","1986-10",12.847,14.852,12.79,0,0
"1986-05","1986-11",15.444,15.207,13.56,0,0
"1986-06","1986-12",13.469,16.076,12.82,0,0
"1986-07","1987-01",11.575,18.656,11.44,0,0
"1986-08","1987-02",15.092,17.726,15.55,0,0
"1986-09","1987-03",14.913,18.305,14.79,0,0
"1986-10","1987-04",14.852,18.643,15.5,0,0
"1986-11","1987-05",15.207,19.415,15.07,0,0
"1986-12","1987-06",16.076,20.034,17.72,0,0
"1987-01","1987-07",18.656,21.355,17.98,0,0
"1987-02","1987-08",17.726,20.274,16.38,0,0
"1987-03","1987-09",18.305,19.526,18,0,0
"1987-04","1987-10",18.643,19.848,17.82,0,0
"1987-05","1987-11",19.415,18.92,18.8,0,0
"1987-06","1987-12",20.034,17.241,20.05,0,0
"1987-07","1988-01",21.355,17.16,20.54,0,0
"1987-08","1988-02",20.274,16.765,19.32,0,0
"1987-09","1988-03",19.526,16.217,19.2,0,0
"1987-10","1988-04",19.848,17.875,19.43,0,0
"1987-11","1988-05",18.92,17.438,18.18,0,0
"1987-12","1988-06",17.241,16.53,16.27,0,0
"1988-01","1988-07",17.16,15.498,16.46,0,0
"1988-02","1988-08",16.765,15.524,15.69,0,0
"1988-03","1988-09",16.217,14.467,16.73,0,0
"1988-04","1988-10",17.875,13.798,17.75,0,0
"1988-05","1988-11",17.438,13.977,17.91,0,0
"1988-06","1988-12",16.53,16.266,15.75,0,0
"1988-07","1989-01",15.498,17.983,16.74,0,0
"1988-08","1989-02",15.524,17.826,15.32,0,0
"1988-09","1989-03",14.467,19.445,13.01,0,0
"1988-10","1989-04",13.798,21.04,13.76,0,0
"1988-11","1989-05",13.977,20.032,15.05,0,0
"1988-12","1989-06",16.266,20.005,15.72,0,0
