"time.t","exp.date","spot.t","exp.spot","fut","rec","brent.ind"
"1983-12","1984-08",29.24,29.25,28.2,0,0
"1984-01","1984-09",29.69,29.311,29.15,0,0
"1984-02","1984-10",30.145,28.765,30.03,0,0
"1984-03","1984-11",30.761,28.098,30.35,0,0
"1984-04","1984-12",30.618,25.429,30.15,0,0
"1984-05","1985-01",30.52,25.641,30.67,0,0
"1984-06","1985-02",29.967,27.271,30.15,0,0
"1984-07","1985-03",28.752,28.238,27.99,0,0
"1984-08","1985-04",29.25,28.805,29.26,0,0
"1984-09","1985-05",29.311,27.623,29.36,0,0
"1984-10","1985-06",28.765,27.143,27.72,0,0
"1984-11","1985-07",28.098,27.329,26.72,0,0
"1984-12","1985-08",25.429,27.755,25.91,0,0
"1985-01","1985-09",25.641,28.289,25.35,0,0
"1985-02","1985-10",27.271,29.538,25.45,0,0
"1985-03","1985-11",28.238,30.813,27.42,0,0
"1985-04","1985-12",28.805,27.228,26.77,0,0
"1985-05","1986-01",27.623,22.945,26.43,0,0
"1985-06","1986-02",27.143,15.442,24.84,0,0
"1985-07","1986-03",27.329,12.618,24.79,0,0
"1985-08","1986-04",27.755,12.847,26.35,0,0
"1985-09","1986-05",28.289,15.444,26.3,0,0
"1985-10","1986-06",29.538,13.469,26.18,0,0
"1985-11","1986-07",30.813,11.575,25.72,0,0
"1985-12","1986-08",27.228,15.092,22.7,0,0
"1986-01","1986-09",22.945,14.913,19.11,0,0
"1986-02","1986-10",15.442,14.852,15.16,0,0
"1986-03","1986-11",12.618,15.207,11.69,0,0
"1986-04","1986-12",12.847,16.076,12.82,0,0
"1986-05","1987-01",15.444,18.656,13.48,0,0
"1986-06","1987-02",13.469,17.726,12.82,0,0
"1986-07","1987-03",11.575,18.305,11.6,0,0
"1986-08","1987-04",15.092,18.643,15.5,0,0
"1986-09","1987-05",14.913,19.415,14.85,0,0
"1986-10","1987-06",14.852,20.034,15.5,0,0
"1986-11","1987-07",15.207,21.355,15.03,0,0
"1986-12","1987-08",16.076,20.274,17.62,0,0
"1987-01","1987-09",18.656,19.526,17.93,0,0
"1987-02","1987-10",17.726,19.848,16.5,0,0
"1987-03","1987-11",18.305,18.92,17.97,0,0
"1987-04","1987-12",18.643,17.241,17.73,0,0
"1987-05","1988-01",19.415,17.16,18.71,0,0
"1987-06","1988-02",20.034,16.765,20.05,0,0
"1987-07","1988-03",21.355,16.217,20.44,0,0
"1987-08","1988-04",20.274,17.875,19.29,0,0
"1987-09","1988-05",19.526,17.438,19.12,0,0
"1987-10","1988-06",19.848,16.53,19.26,0,0
"1987-11","1988-07",18.92,15.498,18.1,0,0
"1987-12","1988-08",17.241,15.524,16.15,0,0
"1988-01","1988-09",17.16,14.467,16.3,0,0
